Comment,Label
"Honestly, Such a rude and disrespectful person right now.",Toxic
I agree with your point right now.,Non-Toxic
"In my opinion, This is pure nonsense in this chat...",Toxic
"Honestly, Your answer is insightful!!",Non-Toxic
"Really, You are a waste of time overall...",Toxic
"In my opinion, You are full of nonsense!!",Toxic
"Clearly, That was a horrible idea!",Toxic
"Honestly, You are completely annoying",Toxic
"Honestly, You are so disrespectful...",Toxic
"Honestly, This is a positive contribution right now...",Non-Toxic
"Clearly, I agree with your point",Non-Toxic
"In my opinion, I agree with your point...",Non-Toxic
You have a good attitude!,Non-Toxic
"In my opinion, You are not welcome here",Toxic
"From my view, That was a considerate comment!!",Non-Toxic
"From my view, This helped me understand the topic in this chat!!",Non-Toxic
"Really, I appreciate the kindness.",Non-Toxic
"Really, Your idea is interesting today!",Non-Toxic
"Honestly, This is absolutely idiotic right now.",Toxic
You should be ashamed of yourself overall...,Toxic
That was a respectful reply!,Non-Toxic
"In my opinion, This is a friendly response today",Non-Toxic
"Honestly, Your explanation is clear right now",Non-Toxic
"From my view, You are full of nonsense!!",Toxic
"From my view, Go away right now!",Toxic
You should be ashamed of yourself today,Toxic
"Clearly, Nobody cares about your excuses today...",Toxic
You are full of nonsense today...,Toxic
"From my view, That was a kind message...",Non-Toxic
"Really, This is a well written message!",Non-Toxic
"In my opinion, You are useless right now...",Toxic
"Clearly, You are very encouraging!",Non-Toxic
"From my view, You are very encouraging",Non-Toxic
"Honestly, You are not welcome here today!",Toxic
"In my opinion, You are very encouraging today",Non-Toxic
"Really, Your work is pathetic.",Toxic
"Really, You always ruin everything today",Toxic
"Clearly, This is a calm and helpful note...",Non-Toxic
"From my view, You are being extremely annoying.",Toxic
You are completely annoying overall!,Toxic
"Really, That was a smart solution",Non-Toxic
"Clearly, Thanks for the constructive feedback right now!!",Non-Toxic
That was a respectful reply,Non-Toxic
"Really, Great work on this task right now",Non-Toxic
That post is garbage!,Toxic
"Really, You are acting like a jerk today!!",Toxic
"In my opinion, You are impossible to deal with overall.",Toxic
"Honestly, You always ruin everything.",Toxic
"From my view, Thanks for being supportive.",Non-Toxic
"Really, You have no clue what you are doing!!",Toxic
"Honestly, This is a pathetic attempt in this chat",Toxic
"From my view, You are amazing right now!!",Non-Toxic
"Really, I cannot stand your behavior",Toxic
"From my view, That was a great idea",Non-Toxic
"Clearly, You are amazing right now!!",Non-Toxic
"Honestly, You explained that very well.",Non-Toxic
I appreciate your effort.,Non-Toxic
You shared useful information overall!,Non-Toxic
"Clearly, You are doing a great job right now!!",Non-Toxic
"From my view, I cannot stand your behavior right now!!",Toxic
"In my opinion, You are supportive and kind overall...",Non-Toxic
That was a great idea overall...,Non-Toxic
"In my opinion, This is a helpful post in this chat.",Non-Toxic
"Clearly, That comment was awful...",Toxic
"Clearly, You should be ashamed of yourself today!",Toxic
This is a positive contribution!,Non-Toxic
"Honestly, That was a great idea right now...",Non-Toxic
"In my opinion, You did a wonderful job!!",Non-Toxic
"Really, You have no clue what you are doing.",Toxic
"Honestly, This is a helpful post",Non-Toxic
"From my view, I appreciate your effort!",Non-Toxic
"Honestly, This is a positive contribution in this chat...",Non-Toxic
You are a waste of time!,Toxic
"Really, Go away right now!!",Toxic
"In my opinion, What a dumb comment.",Toxic
"In my opinion, You explained that very well...",Non-Toxic
"From my view, You are doing a great job overall",Non-Toxic
I value your contribution.,Non-Toxic
"In my opinion, You did a wonderful job right now!!",Non-Toxic
"Really, Thanks for being supportive",Non-Toxic
"Clearly, Your idea makes no sense right now",Toxic
"From my view, I enjoy reading your comments...",Non-Toxic
"Really, You always say stupid things.",Toxic
"Clearly, This is pure nonsense",Toxic
"Really, Such a rude and disrespectful person!",Toxic
Your comment is trash right now,Toxic
"Really, Stop talking, you sound terrible in this chat...",Toxic
"Clearly, You keep saying nonsense in this chat!",Toxic
"Clearly, I value your contribution!!",Non-Toxic
"Honestly, You are full of nonsense today.",Toxic
"In my opinion, That was a considerate comment.",Non-Toxic
"Clearly, You are being extremely annoying today.",Toxic
"In my opinion, What a dumb comment overall!",Toxic
Your idea is interesting today!,Non-Toxic
"Really, I appreciate your effort.",Non-Toxic
"Clearly, Please keep sharing your ideas!!",Non-Toxic
You are useless right now...,Toxic
"From my view, This is absolutely idiotic.",Toxic
"From my view, Your comment is thoughtful right now.",Non-Toxic
"In my opinion, What a dumb comment right now!!",Toxic
"In my opinion, You are amazing in this chat!!",Non-Toxic
"Honestly, That comment was awful.",Toxic
"Clearly, You have a good attitude overall!!",Non-Toxic
"Honestly, Your message is so offensive today!!",Toxic
"Honestly, That was a respectful reply overall!!",Non-Toxic
"Honestly, You always say stupid things right now...",Toxic
"Honestly, Your comment is trash right now",Toxic
Great work on this task right now!!,Non-Toxic
"From my view, Great work on this task...",Non-Toxic
"Honestly, Your explanation is clear",Non-Toxic
"Really, You are completely annoying today.",Toxic
"In my opinion, You are a waste of time overall.",Toxic
Your work looks excellent...,Non-Toxic
"Clearly, That was a respectful reply!!",Non-Toxic
"Really, I value your contribution right now!",Non-Toxic
You are impossible to deal with right now!,Toxic
"Clearly, You have no clue what you are doing!",Toxic
"Clearly, You are acting like a jerk...",Toxic
You are so disrespectful overall,Toxic
What a dumb comment in this chat!!,Toxic
"Really, Your work looks excellent today.",Non-Toxic
"From my view, That was a horrible idea",Toxic
"In my opinion, This is a helpful post...",Non-Toxic
"Honestly, That was a horrible idea!",Toxic
"In my opinion, Great work on this task in this chat!",Non-Toxic
"In my opinion, You are doing a great job!",Non-Toxic
"In my opinion, You shared useful information overall!!",Non-Toxic
"Clearly, This is a positive contribution",Non-Toxic
"Clearly, You are a waste of time overall",Toxic
You are supportive and kind right now!!,Non-Toxic
"In my opinion, Your message is polite overall!",Non-Toxic
"Honestly, Your comment is trash!!",Toxic
"Honestly, That was a respectful reply!!",Non-Toxic
"Clearly, You always say stupid things today!",Toxic
"Honestly, You are supportive and kind in this chat.",Non-Toxic
Go away today!,Toxic
"In my opinion, You are supportive and kind.",Non-Toxic
You explained that very well overall!!,Non-Toxic
You are a waste of time right now...,Toxic
That was a mean and rude reply today!!,Toxic
"In my opinion, Your comment is trash overall!!",Toxic
"In my opinion, Stop being so lazy and useless overall.",Toxic
This is the worst thing ever!,Toxic
"In my opinion, This is absolutely idiotic",Toxic
"From my view, Your idea is interesting overall.",Non-Toxic
"In my opinion, This is a well written message right now.",Non-Toxic
"Clearly, That post is garbage today.",Toxic
"Clearly, This is absolutely idiotic right now!!",Toxic
"From my view, You always ruin everything overall...",Toxic
"Clearly, You are so stupid today!!",Toxic
That was a smart solution in this chat!,Non-Toxic
"From my view, I respect your opinion.",Non-Toxic
"From my view, That was a horrible idea overall",Toxic
"Honestly, You are supportive and kind!",Non-Toxic
"From my view, This is a positive contribution",Non-Toxic
"Clearly, You are impossible to deal with in this chat",Toxic
"From my view, Your message is so offensive right now.",Toxic
I value your contribution.,Non-Toxic
"Really, You are doing a great job overall!!",Non-Toxic
Thanks for being supportive today...,Non-Toxic
"Really, You are embarrassing yourself right now...",Toxic
"Clearly, You explained that very well today!",Non-Toxic
"Clearly, Stop being so lazy and useless overall...",Toxic
"In my opinion, That was a considerate comment",Non-Toxic
"Honestly, Your explanation is clear today...",Non-Toxic
"Honestly, This is the worst thing ever overall...",Toxic
"Clearly, This is absolutely idiotic...",Toxic
That was a mean and rude reply in this chat...,Toxic
"Really, Your comment is trash in this chat!!",Toxic
You are useless right now.,Toxic
You are acting like a jerk in this chat.,Toxic
This is a calm and helpful note!!,Non-Toxic
"Really, Your explanation is clear today.",Non-Toxic
"In my opinion, That was a mean and rude reply...",Toxic
Go away in this chat.,Toxic
Nobody cares about your excuses in this chat!!,Toxic
"Clearly, I hate this nonsense",Toxic
"Clearly, Such a rude and disrespectful person",Toxic
"Clearly, This is a calm and helpful note!!",Non-Toxic
"In my opinion, You are not welcome here in this chat!!",Toxic
You are doing a great job right now.,Non-Toxic
"From my view, What a dumb comment overall!",Toxic
That is a very nice suggestion!!,Non-Toxic
"In my opinion, You are doing a great job today",Non-Toxic
"Clearly, You always say stupid things today.",Toxic
That was a kind message.,Non-Toxic
"Really, You are embarrassing yourself right now.",Toxic
"Clearly, Your comment is thoughtful overall.",Non-Toxic
"Honestly, You are doing a great job right now",Non-Toxic
"In my opinion, You did a wonderful job today...",Non-Toxic
"From my view, That post is garbage overall!!",Toxic
"From my view, Go away today!",Toxic
I cannot stand your behavior in this chat.,Toxic
"In my opinion, That was a horrible idea right now!!",Toxic
"Honestly, This is a positive contribution right now!!",Non-Toxic
"Honestly, That was a smart solution in this chat!!",Non-Toxic
"Clearly, You have a good attitude overall.",Non-Toxic
This is a positive contribution overall.,Non-Toxic
I agree with your point!,Non-Toxic
"In my opinion, You have no clue what you are doing!!",Toxic
